DATAFLOW,LAST UPDATE,freq,s_adj,indic,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2014-08,5392.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2014-09,4480.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2014-10,4405.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2014-11,4511.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2014-12,5023.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2015-01,5307.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2015-02,4702.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2015-03,4944.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2015-04,4288.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2015-05,4243.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2015-06,4361.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2015-07,5532.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2015-08,5292.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2015-09,4586.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2015-10,4171.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2015-11,4143.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2015-12,4842.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2016-01,5063.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2016-02,4300.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2016-03,4525.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2016-04,4005.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2016-05,4170.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2016-06,4966.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2016-07,5756.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2016-08,5417.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2016-09,4503.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2016-10,4317.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2016-11,4445.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2016-12,5358.000,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2017-01,5550.875,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2017-02,4481.545,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2017-03,4492.349,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2017-04,3989.165,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2017-05,4212.741,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2017-06,4653.002,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2017-07,5618.209,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2017-08,5451.123,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2017-09,4531.862,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2017-10,4201.588,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2017-11,4422.030,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2017-12,4881.294,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2018-01,5054.573,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2018-02,4435.298,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2018-03,4452.799,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2018-04,3917.683,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2018-05,4252.817,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2018-06,4695.877,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2018-07,5464.830,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2018-08,5453.540,
